prompt,A,B,C,D,E,answer,wiki_fact
"What is the estimated redshift of CEERS-93316, a candidate high-redshift galaxy observed by the James Webb Space Telescope?","Approximately z = 6.0, corresponding to 1 billion years after the Big Bang.","Approximately z = 16.7, corresponding to 235.8 million years after the Big Bang.","Approximately z = 3.0, corresponding to 5 billion years after the Big Bang.","Approximately z = 10.0, corresponding to 13 billion years after the Big Bang.","Approximately z = 13.0, corresponding to 30 billion light-years away from Earth.",B,"Highest redshifts

Currently, the objects with the highest known redshifts are galaxies and the objects producing gamma ray bursts. The most reliable redshifts are from spectroscopic data, and the highest-confirmed spectroscopic redshift of a galaxy is that of GN-z11, with a redshift of , corresponding to 400 million years after the Big Bang. The previous record was held by UDFy-38135539 at a redshift of , corresponding to 600 million years after the Big Bang. Slightly less reliable are Lyman-break redshifts, the highest of which is the lensed galaxy A1689-zD1 at a redshift  and the next highest being . The most distant-observed gamma-ray burst with a spectroscopic redshift measurement was GRB 090423, which had a redshift of . The most distant-known quasar, ULAS J1342+0928, is at . The highest-known redshift radio galaxy (TGSS1530) is at a redshift  and the highest-known redshift molecular material is the detection of emission from the CO molecule from the quasar SDSS J1148+5251 at ."
What is bollard pull primarily used for measuring?,The weight of heavy machinery,The speed of locomotives,The distance traveled by a truck,The strength of tugboats,The height of a ballast tractor,D,
What is the piezoelectric strain coefficient for AT-cut quartz crystals?,d = 1.9·10‑12 m/V,d = 3.1·10‑12 m/V,d = 4.2·10‑12 m/V,d = 2.5·10‑12 m/V,d = 5.8·10‑12 m/V,B,"Amplitude of motion 
The amplitude of lateral displacement rarely exceeds a nanometer. More specifically one has

with u0 the amplitude of lateral displacement, n the overtone order, d the piezoelectric strain coefficient, Q the quality factor, and Uel the amplitude of electrical driving. The piezoelectric strain coefficient is given as d = 3.1·10‑12 m/V for AT-cut quartz crystals. Due to the small amplitude, stress and strain usually are proportional to each other. The QCM operates in the range of linear acoustics.

Effects of temperature and stress 
The resonance frequency of acoustic resonators depends on temperature, pressure, and bending stress.  Temperature-frequency coupling is minimized by employing special crystal cuts. A widely used temperature-compensated cut of quartz is the AT-cut.  Careful control of temperature and stress is essential in the operation of the QCM."
What is the difference between probability mass function (PMF) and probability density function (PDF)?,"PMF is used only for continuous random variables, while PDF is used for both continuous and discrete random variables.","PMF is used for both continuous and discrete random variables, while PDF is used only for continuous random variables.","PMF is used for continuous random variables, while PDF is used for discrete random variables.","PMF is used for discrete random variables, while PDF is used for continuous random variables.",PMF and PDF are interchangeable terms used for the same concept in probability theory.,D,"In statistics, especially in Bayesian statistics, the kernel of a probability density function (pdf) or probability mass function (pmf) is the form of the pdf or pmf in which any factors that are not functions of any of the variables in the domain are omitted.  Note that such factors may well be functions of the parameters of the pdf or pmf.  These factors form part of the normalization factor of the probability distribution, and are unnecessary in many situations.  For example, in pseudo-random number sampling, most sampling algorithms ignore the normalization factor.  In addition, in Bayesian analysis of conjugate prior distributions, the normalization factors are generally ignored during the calculations, and only the kernel considered.  At the end, the form of the kernel is examined, and if it matches a known distribution, the normalization factor can be reinstated.  Otherwise, it may be unnecessary (for example, if the distribution only needs to be sampled from)."
"How do the Lunar Laser Ranging Experiment, radar astronomy, and the Deep Space Network determine distances to the Moon, planets, and spacecraft?",They determine the values of electromagnetic constants.,They measure round-trip transit times.,They measure the actual speed of light waves.,They use interferometry to determine the speed of light.,They separately determine the frequency and wavelength of a light beam.,B,"Lunar Laser Ranging (LLR) is the practice of measuring the distance between the surfaces of the Earth and the Moon using laser ranging. The distance can be calculated from the round-trip time of laser light pulses travelling at the speed of light, which are reflected back to Earth by the Moon's surface or by one of five retroreflectors installed on the Moon during the Apollo program (11, 14, and 15) and Lunokhod 1 and 2 missions.

Although it is possible to reflect light or radio waves directly from the Moon's surface (a process known as EME), a much more precise range measurement can be made using retroreflectors, since because of their small size, the temporal spread in the reflected signal is much smaller.

A review of Lunar Laser Ranging is available.

Laser ranging measurements can also be made with retroreflectors installed on Moon-orbiting satellites such as the LRO.

History"
What is the Ozma Problem?,The Ozma Problem is a chapter in a book that discusses the versatility of carbon and chirality in biochemistry.,"The Ozma Problem is a discussion about time invariance and reversal in particle physics, theoretical physics, and cosmology.","The Ozma Problem is a conundrum that examines whether there is any fundamental asymmetry to the universe. It concerns various aspects of atomic and subatomic physics and how they relate to mirror asymmetry and the related concepts of chirality, antimatter, magnetic and electrical polarity, parity, charge and spin.",The Ozma Problem is a measure of how symmetry and asymmetry have evolved from the beginning of life on Earth.,The Ozma Problem is a comparison between the level of a desired signal and the level of background noise used in science and engineering.,C,"Semaglutide, sold under the brand name Ozempic among others, is an antidiabetic medication used for the treatment of type 2 diabetes and long-term weight management.

Semaglutide acts like human glucagon-like peptide-1 (GLP-1) in that it increases insulin secretion, thereby increasing sugar metabolism. It is distributed as a metered subcutaneous injection in a prefilled pen, or as an oral form. One of its advantages over other antidiabetic drugs is that it has a long duration of action, so a once-a-week injection is sufficient."
What is a Hilbert space in quantum mechanics?,A complex vector space where the state of a classical mechanical system is described by a vector |Ψ⟩.,A physical space where the state of a classical mechanical system is described by a vector |Ψ⟩.,A physical space where the state of a quantum mechanical system is described by a vector |Ψ⟩.,A mathematical space where the state of a classical mechanical system is described by a vector |Ψ⟩.,A complex vector space where the state of a quantum mechanical system is described by a vector |Ψ⟩.,E,"Broadening beyond this simple case, the mathematical formulation of quantum mechanics   developed by Paul Dirac, David Hilbert, John von Neumann, and Hermann Weyl defines the state of a quantum mechanical system to be a vector  belonging to a (separable) Hilbert space . This vector is postulated to be normalized under the Hilbert's space inner product, that is, in Dirac notation it obeys . The exact nature of this Hilbert space is dependent on the system – for example, for describing position and momentum the Hilbert space is the space of complex square-integrable functions , while the Hilbert space for the spin of a single proton is simply the space of two-dimensional complex vectors  with the usual inner product."
What is the significance of the speed of light in vacuum?,The speed of light in vacuum is only relevant when measuring the one-way speed of light.,The speed of light in vacuum is only relevant when measuring the two-way speed of light.,The speed of light in vacuum is independent of the motion of the wave source and the observer's inertial frame of reference.,The speed of light in vacuum is dependent on the motion of the wave source and the observer's inertial frame of reference.,The speed of light in vacuum is only relevant when c appears explicitly in the units of measurement.,C,"Justifications

Casimir vacuum and quantum tunnelling
Special relativity postulates that the speed of light in vacuum is invariant in inertial frames. That is, it will be the same from any frame of reference moving at a constant speed. The equations do not specify any particular value for the speed of light, which is an experimentally determined quantity for a fixed unit of length. Since 1983, the SI unit of length (the meter) has been defined using the speed of light."
What is the term used to describe the proportionality factor to the Stefan-Boltzmann law that is utilized in subsequent evaluations of the radiative behavior of grey bodies?,Emissivity,Wien's displacement law,Reflectance,Black-body radiation,Albedo,A,"The Stefan–Boltzmann law describes the power radiated from a black body in terms of its temperature.  Specifically, the Stefan–Boltzmann law states that the total energy radiated per unit surface area of a black body across all wavelengths per unit time  (also known as the black-body radiant emittance) is directly proportional to the fourth power of the black body's thermodynamic temperature T:

The constant of proportionality σ, called the Stefan–Boltzmann constant, is derived from other known physical constants. Since 2019, the value of the constant is

where k is the Boltzmann constant, h is Planck's constant, and c is the speed of light in a vacuum. The radiance from a specified angle of view (watts per square metre per steradian) is given by

A body that does not absorb all incident radiation (sometimes known as a grey body) emits less total energy than a black body and is characterized by an emissivity, :"
What is the reason for the formation of stars exclusively within molecular clouds?,The formation of stars occurs exclusively outside of molecular clouds.,"The low temperatures and high densities of molecular clouds cause the gravitational force to exceed the internal pressures that are acting ""outward"" to prevent a collapse.","The low temperatures and low densities of molecular clouds cause the gravitational force to be less than the internal pressures that are acting ""outward"" to prevent a collapse.","The high temperatures and low densities of molecular clouds cause the gravitational force to exceed the internal pressures that are acting ""outward"" to prevent a collapse.","The high temperatures and high densities of molecular clouds cause the gravitational force to be less than the internal pressures that are acting ""outward"" to prevent a collapse.",B,"Star formation

The formation of a star begins with gravitational instability within a molecular cloud, caused by regions of higher density—often triggered by compression of clouds by radiation from massive stars, expanding bubbles in the interstellar medium, the collision of different molecular clouds, or the collision of galaxies (as in a starburst galaxy). When a region reaches a sufficient density of matter to satisfy the criteria for Jeans instability, it begins to collapse under its own gravitational force."
What is the identity operation in symmetry groups?,The identity operation leaves the molecule unchanged and forms the identity element in the symmetry group.,The identity operation rotates the molecule about its center of mass.,The identity operation inverts the molecule about its center of inversion.,The identity operation reflects the molecule across a plane of symmetry.,The identity operation translates the molecule in 3-D space.,A,"An action that leaves an object looking the same after it has been carried out is called a symmetry operation . For example rotations, reflections and inversions etc. There is a corresponding symmetry element for each symmetry operation. For instance a point, a line or a plane can be a symmetry element. The symmetry operation is performed with respect to a symmetry element ( a point, line or plane). In the context of molecular symmetry, a symmetry operation is a permutation of atoms such that the molecule or crystal is transformed into a state indistinguishable from the starting state.
Two basic facts follow from this definition, which emphasizes its usefulness.
 Physical properties must be invariant with respect to symmetry operations.
 Symmetry operations can be collected together in groups which are isomorphic to permutation groups."
What is a regular polytope?,A regular polytope is a geometric shape whose symmetry group is transitive on its diagonals.,A regular polytope is a geometric shape whose symmetry group is transitive on its vertices.,A regular polytope is a geometric shape whose symmetry group is transitive on its flags.,A regular polytope is a geometric shape whose symmetry group is transitive on its edges.,A regular polytope is a geometric shape whose symmetry group is transitive on its faces.,C,"In mathematics, a regular polytope is a polytope whose symmetry group acts transitively on its flags, thus giving it the highest degree of symmetry. All its elements or j-faces (for all 0 ≤ j ≤ n, where n is the dimension of the polytope) — cells, faces and so on — are also transitive on the symmetries of the polytope, and are regular polytopes of dimension ≤ n.

Regular polytopes are the generalized analog in any number of dimensions of regular polygons (for example, the square or the regular pentagon) and regular polyhedra (for example, the cube). The strong symmetry of the regular polytopes gives them an aesthetic quality that interests both non-mathematicians and mathematicians.

Classically, a regular polytope in n dimensions may be defined as having regular facets [(n − 1)-faces] and regular vertex figures. These two conditions are sufficient to ensure that all faces are alike and all vertices are alike. Note, however, that this definition does not work for abstract polytopes."
What is the reason behind the largest externally observed electrical effects when two conductors are separated by the smallest distance without touching?,"The surface charge on a conductor depends on the magnitude of the electric field, which in turn depends on the temperature between the surfaces.","The surface charge on a conductor depends on the magnitude of the magnetic field, which in turn depends on the distance between the surfaces.","The surface charge on a conductor depends on the magnitude of the electric field, which in turn depends on the angle between the surfaces.","The surface charge on a conductor depends on the magnitude of the electric field, which in turn depends on the distance between the surfaces.","The surface charge on a conductor depends on the magnitude of the electric field, which in turn depends on the pressure between the surfaces.",D,"Contact electrification If two conducting surfaces are moved relative to each other, and there is potential difference in the space between them, then an electric current will be driven. This is because the surface charge on a conductor depends on the magnitude of the electric field, which in turn depends on the distance between the surfaces. The externally observed electrical effects are largest when the conductors are separated by the smallest distance without touching (once brought into contact, the charge will instead flow internally through the junction between the conductors). Since two conductors in equilibrium can have a built-in potential difference due to work function differences, this means that bringing dissimilar conductors into contact, or pulling them apart, will drive electric currents. These contact currents can damage sensitive microelectronic circuitry and occur even when the conductors would be grounded in the absence of motion."
What is the formalism that angular momentum is associated with in rotational invariance?,Angular momentum is the 1-form Noether charge associated with rotational invariance.,Angular momentum is the 3-form Noether charge associated with rotational invariance.,Angular momentum is the 5-form Noether charge associated with rotational invariance.,Angular momentum is the 2-form Noether charge associated with rotational invariance.,Angular momentum is the 4-form Noether charge associated with rotational invariance.,D,"Rotational invariance

The conservation of the angular momentum L = r × p is  analogous to its linear momentum counterpart. It is assumed that the symmetry of the Lagrangian is rotational, i.e., that the Lagrangian does not depend on the absolute orientation of the physical system in space. For concreteness, assume that the Lagrangian does not change under small rotations of an angle δθ about an axis n; such a rotation transforms the Cartesian coordinates by the equation

Since time is not being transformed, T = 0. Taking δθ as the ε parameter and the Cartesian coordinates r as the generalized coordinates q, the corresponding Q variables are given by

Then Noether's theorem states that the following quantity is conserved,

In other words, the component of the angular momentum L along the n axis is conserved.

If n is arbitrary, i.e., if the system is insensitive to any rotation, then every component of L is conserved; in short, angular momentum is conserved."
"Which hand should be used to apply the right-hand rule when tightening or loosening nuts, screws, bolts, bottle caps, and jar lids?",One's dominant hand,The right hand,Both hands,The left hand,Either hand,B,"To apply the right-hand rule, place one's loosely clenched right hand above the object with the thumb pointing in the direction one wants the screw, nut, bolt, or cap ultimately to move, and the curl of the fingers, from the palm to the tips, will indicate in which way one needs to turn the screw, nut, bolt or cap to achieve the desired result. Almost all threaded objects obey this rule except for a few left-handed exceptions described below.

The reason for the clockwise standard for most screws and bolts is that supination of the arm, which is used by a right-handed person to tighten a screw clockwise, is generally stronger than pronation used to loosen."
What is the Minkowski diagram used for?,The Minkowski diagram is used to define concepts and demonstrate properties of Newtonian mechanics and to provide geometrical interpretation to the generalization of Lorentz transformations to relativistic mechanics.,The Minkowski diagram is used to define concepts and demonstrate properties of general relativity and to provide geometrical interpretation to the generalization of special relativity to relativistic mechanics.,The Minkowski diagram is used to define concepts and demonstrate properties of Lorentz transformations and to provide geometrical interpretation to the generalization of quantum mechanics to relativistic mechanics.,The Minkowski diagram is used to define concepts and demonstrate properties of special relativity and to provide geometrical interpretation to the generalization of general relativity to relativistic mechanics.,The Minkowski diagram is used to define concepts and demonstrate properties of Lorentz transformations and to provide geometrical interpretation to the generalization of Newtonian mechanics to relativistic mechanics.,E,"The Minkowski diagram is drawn in a spacetime plane where the spatial aspect has been restricted to a single dimension. The units of distance and time on such a plane are 
 units of 30 centimetres length and nanoseconds, or
 astronomical units and intervals of 8 minutes and 20 seconds, or
 light years and years.
Each of these scales of coordinates results in photon connections of events along diagonal lines of slope plus or minus one.
Five elements constitute the diagram Hermann Minkowski used to describe the relativity transformations: the unit hyperbola, its conjugate hyperbola, the axes of the hyperbola, a diameter of the unit hyperbola, and the conjugate diameter."
What are the two main interpretations for the disparity between the presence of matter and antimatter in the observable universe?,"The universe began with a small preference for matter, or it was originally perfectly asymmetric, but a set of phenomena contributed to a small imbalance in favor of antimatter over time.","The universe began with a small preference for antimatter, or it was originally perfectly symmetric, but a set of phenomena contributed to a small imbalance in favor of antimatter over time.","The universe began with equal amounts of matter and antimatter, or it was originally perfectly symmetric, but a set of phenomena contributed to a small imbalance in favor of antimatter over time.","The universe began with a small preference for matter, or it was originally perfectly symmetric, but a set of phenomena contributed to a small imbalance in favor of matter over time.","The universe began with equal amounts of matter and antimatter, or it was originally perfectly asymmetric, but a set of phenomena contributed to a small imbalance in favor of matter over time.",D,"One of the outstanding problems in modern physics is the predominance of matter over antimatter in the universe. The universe, as a whole, seems to have a nonzero positive baryon number density. Since it is assumed in cosmology that the particles we see were created using the same physics we measure today, it would normally be expected that the overall baryon number should be zero, as matter and antimatter should have been created in equal amounts. A number of theoretical mechanisms are proposed to account for this discrepancy, namely identifying conditions that favour symmetry breaking and the creation of normal matter (as opposed to antimatter). This imbalance has to be exceptionally small, on the order of 1 in every  (~2×109) particles a small fraction of a second after the Big Bang. After most of the matter and antimatter was annihilated, what remained was all the baryonic matter in the current universe, along with a much greater number of bosons. Experiments reported in 2010 at"
What is the Ramsauer-Townsend effect?,The Ramsauer-Townsend effect is a physical phenomenon that involves the scattering of low-energy electrons by atoms of a non-noble gas. It can be explained by classical mechanics.,The Ramsauer-Townsend effect is a physical phenomenon that involves the scattering of low-energy electrons by atoms of a noble gas. It requires the wave theory of quantum mechanics to be explained.,The Ramsauer-Townsend effect is a physical phenomenon that involves the scattering of high-energy electrons by atoms of a noble gas. It can be explained by classical mechanics.,The Ramsauer-Townsend effect is a physical phenomenon that involves the scattering of high-energy electrons by atoms of a non-noble gas. It requires the wave theory of quantum mechanics to be explained.,The Ramsauer-Townsend effect is a physical phenomenon that involves the scattering of electrons by atoms of any gas. It can be explained by classical mechanics.,B,
What is Minkowski space?,Minkowski space is a physical space where objects move in a straight line unless acted upon by a force.,Minkowski space is a mathematical model that combines inertial space and time manifolds with a non-inertial reference frame of space and time into a four-dimensional model relating a position to the field.,Minkowski space is a mathematical model that combines space and time into a two-dimensional model relating a position to the field.,Minkowski space is a mathematical model that combines space and time into a three-dimensional model relating a position to the field.,Minkowski space is a physical space where objects move in a curved line unless acted upon by a force.,B,"Minkowski spacetime

Minkowski space (or Minkowski spacetime) is a mathematical setting in which special relativity is conveniently formulated. Minkowski space is named for the German mathematician Hermann Minkowski, who around 1907 realized that the theory of special relativity (previously developed by Poincaré and Einstein) could be elegantly described using a four-dimensional spacetime, which combines the dimension of time with the three dimensions of space.

Mathematically there are a number of ways in which the four-dimensions of Minkowski spacetime are commonly represented: as a four-vector with 4 real coordinates, as a four-vector with 3 real and one complex coordinate, or using tensors.

Test theories of special relativity"
What is the Optical Signal-to-Noise Ratio (OSNR)?,"The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the modulation frequency and the carrier frequency of an optical signal, used to describe the signal quality in systems where dynamic range is less than 6.02m.","The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a given bandwidth, used to describe the signal quality without taking the receiver into account.","The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a given bandwidth, used to describe the signal quality in situations where the dynamic range is less than 6.02m.","The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a fixed bandwidth of 6.02m, used to describe the signal quality in systems where dynamic range is less than 6.02m.","The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a given bandwidth, used to describe the signal quality in situations where the dynamic range is large or unpredictable.",B,"Signal-to-noise ratio (SNR or S/N) is a measure used in science and engineering that compares the level of a desired signal to the level of background noise. SNR is defined as the ratio of signal power to the noise power, often expressed in decibels. A ratio higher than 1:1 (greater than 0 dB) indicates more signal than noise.

SNR, bandwidth, and channel capacity of a communication channel are connected by the Shannon–Hartley theorem.

Definition

Signal-to-noise ratio is defined as the ratio of the power of a signal (meaningful input) to the power of background noise (meaningless or unwanted input):

where  is average power. Both signal and noise power must be measured at the same or equivalent points in a system, and within the same system bandwidth.

Depending on whether the signal is a constant () or a random variable (), the signal-to-noise ratio for random noise  becomes:

where E refers to the expected value, i.e. in this case the mean square of ,
or"
What is the interpretation of supersymmetry in stochastic supersymmetric theory?,Supersymmetry is a type of hydromagnetic dynamo that arises when the magnetic field becomes strong enough to affect the fluid motions.,Supersymmetry is a measure of the amplitude of the dynamo in the induction equation of the kinematic approximation.,Supersymmetry is a measure of the strength of the magnetic field in the induction equation of the kinematic dynamo.,Supersymmetry is a property of deterministic chaos that arises from the continuity of the flow in the model's phase space.,"Supersymmetry is an intrinsic property of all stochastic differential equations, and it preserves continuity in the model's phase space via continuous time flows.",E,"Itô interpretation and supersymmetric theory of SDEs 

In the supersymmetric theory of SDEs, stochastic evolution is defined via stochastic evolution operator (SEO) acting on differential forms of the phase space. The Itô-Stratonovich dilemma takes the form of the ambiguity of the operator ordering that arises on the way from the path integral to the operator representation of stochastic evolution. The Itô interpretation corresponds to the operator ordering convention that all the momentum operators act after all the position operators. The SEO can be made unique by supplying it with its most natural mathematical definition of the pullback induced by the noise-configuration-dependent SDE-defined diffeomorphisms and averaged over the noise configurations. This disambiguation leads to the Stratonovich interpretation of SDEs that can be turned into the Itô interpretation by a specific shift of the flow vector field of the SDE.

See also"
"What is the purpose of expressing a map's scale as a ratio, such as 1:10,000?","To indicate the use of south-up orientation, as used in Ancient Africa and some maps in Brazil today.","To indicate the orientation of the map, such as whether the 0° meridian is at the top or bottom of the page.","To indicate the projection used to create the map, such as Buckminster Fuller's Dymaxion projection.","To indicate the arrangement of the map, such as the world map of Gott, Vanderbei, and Goldberg arranged as a pair of disks back-to-back.",To indicate the relationship between the size of the map and the size of the area being represented.,E,"Terminology

Representation of scale
Map scales may be expressed in words (a lexical scale), as a ratio, or as a fraction. Examples are:
'one centimetre to one hundred metres'    or    1:10,000   or    1/10,000
'one inch to one mile'    or    1:63,360    or    1/63,360
'one centimetre to one thousand kilometres'   or   1:100,000,000    or    1/100,000,000.  (The ratio would usually be abbreviated to 1:100M)

Bar scale vs. lexical scale
In addition to the above many maps carry one or more (graphical) bar scales. For example, some modern British maps have three bar scales, one each for kilometres, miles and nautical miles.

A lexical scale in a language known to the user may be easier to visualise than a ratio: if the scale is an inch to two miles and the map user can see two villages that are about two inches apart on the map, then it is easy to work out that the villages are about four miles apart on the ground."
What is the main sequence in astronomy?,The main sequence is a type of galaxy that contains a large number of stars.,The main sequence is a type of black hole that is formed from the collapse of a massive star.,The main sequence is a continuous and distinctive band of stars that appears on plots of stellar color versus brightness. Stars on this band are known as main-sequence stars or dwarf stars.,The main sequence is a group of planets that orbit around a star in a solar system.,The main sequence is a type of nebula that is formed from the explosion of a supernova.,C,"In astronomy, the main sequence is a continuous and distinctive band of stars that appears on plots of stellar color versus brightness. These color-magnitude plots are known as Hertzsprung–Russell diagrams after their co-developers, Ejnar Hertzsprung and Henry Norris Russell. Stars on this band are known as main-sequence stars or dwarf stars. These are the most numerous true stars in the universe, and include the Sun."
"Who proposed the concept of ""maximal acceleration""?",Max Planck,Niels Bohr,Eduardo R. Caianiello,Hideki Yukawa,Albert Einstein,C,"Origin of the concept
In the 17th century, British scientist Robert Hooke presented the idea of an object accelerating inside a planet in a letter to Isaac Newton. A gravity train project was seriously presented to the French Academy of Sciences in the 19th century. The same idea was proposed, without calculation, by Lewis Carroll in 1893 in Sylvie and Bruno Concluded. The idea was rediscovered in the 1960s when physicist Paul Cooper published a paper in the American Journal of Physics suggesting that gravity trains be considered for a future transportation project.

Mathematical considerations
Under the assumption of a spherical planet with uniform density, and ignoring relativistic effects as well as friction, a gravity train has the following properties:

 The duration of a trip depends only on the density of the planet and the gravitational constant, but not on the diameter of the planet.
 The maximum speed is reached at the middle point of the trajectory."
What is indirect photophoresis?,"Indirect photophoresis is a phenomenon that occurs when particles absorb incident light uniformly, creating a temperature gradient within the particle, and causing a migration of particles in a random direction.","Indirect photophoresis is a phenomenon that occurs when particles absorb incident light only on the irradiated side, creating a temperature gradient within the particle, and causing a migration of particles in the same direction as the surface temperature gradient.","Indirect photophoresis is a phenomenon that occurs when particles absorb incident light uniformly, creating a temperature gradient within the particle, and causing a migration of particles in the same direction as the surface temperature gradient.","Indirect photophoresis is a phenomenon that occurs when particles absorb incident light only on the irradiated side, creating a temperature gradient within the particle, and causing a migration of particles in a direction opposite to the surface temperature gradient.","Indirect photophoresis is a phenomenon that occurs when particles absorb incident light uniformly, creating a temperature gradient within the particle, and causing a migration of particles in a direction opposite to the surface temperature gradient.",D,"A photophore is a glandular organ that appears as luminous spots on various marine animals, including fish and cephalopods. The organ can be simple, or as complex as the human eye; equipped with lenses, shutters, color filters and reflectors, however unlike an eye it is optimized to produce light, not absorb it. The bioluminescence can variously be produced from compounds during the digestion of prey, from specialized mitochondrial cells in the organism called photocytes (""light producing"" cells), or, similarly, associated with symbiotic bacteria in the organism that are cultured.

The character of photophores is important in the identification of deep sea fishes. Photophores on fish are used for attracting food or for camouflage from predators by counter-illumination."
What does Earnshaw's theorem state?,A collection of point charges can be maintained in a stable stationary equilibrium configuration solely by the gravitational interaction of the charges.,A collection of point charges can be maintained in a stable stationary equilibrium configuration solely by the electrostatic interaction of the charges.,"A collection of point charges can be maintained in a stable stationary equilibrium configuration solely by the magnetic interaction of the charges, if the magnets are hard.",A collection of point charges cannot be maintained in a stable stationary equilibrium configuration solely by the electrostatic interaction of the charges.,A collection of point charges can be maintained in a stable stationary equilibrium configuration solely by the magnetic interaction of the charges.,D,"Earnshaw's theorem

The idea of particle instability in an electrostatic field originated with Samuel Earnshaw in 1839 and was formalized by James Clerk Maxwell in 1874 who gave it the title ""Earnshaw's theorem"" and proved it with the Laplace equation. Earnshaw's theorem explains why a system of electrons is not stable and was invoked by Niels Bohr in his atom model of 1913 when criticizing J. J. Thomson's atom. 

Earnshaw's theorem holds that a charged particle suspended in an electrostatic field is unstable, because the forces of attraction and repulsion vary at an equal rate that is proportional to the inverse square law and remain in balance wherever a particle moves. Since the forces remain in balance, there is no inequality to provide a restoring force; and the particle remains unstable and can freely move without restriction."
What is radiosity in radiometry?,"Radiosity is the radiant flux entering a surface per unit area, including emitted, reflected, and transmitted radiation.","Radiosity is the radiant flux entering a surface per unit area, including absorbed, reflected, and transmitted radiation.","Radiosity is the radiant flux leaving a surface per unit area, including absorbed, reflected, and transmitted radiation.","Radiosity is the radiant flux leaving a surface per unit area, including emitted, reflected, and transmitted radiation.","Radiosity is the radiant flux leaving a surface per unit volume, including emitted, reflected, and transmitted radiation.",D,"In radiometry, radiosity is the radiant flux leaving (emitted, reflected and transmitted by) a surface per unit area, and spectral radiosity is the radiosity of a surface per unit frequency or wavelength, depending on whether the spectrum is taken as a function of frequency or of wavelength. The SI unit of radiosity is the watt per square metre (), while that of spectral radiosity in frequency is the watt per square metre per hertz (W·m−2·Hz−1) and that of spectral radiosity in wavelength is the watt per square metre per metre (W·m−3)—commonly the watt per square metre per nanometre (). The CGS unit erg per square centimeter per second () is often used in astronomy. Radiosity is often called  in branches of physics other than radiometry, but in radiometry this usage leads to confusion with radiant intensity.

Mathematical definitions

Radiosity
Radiosity of a surface, denoted Je (""e"" for ""energetic"", to avoid confusion with photometric quantities), is defined as"
What is a virtual particle?,A particle that is not affected by the strong force.,A particle that is not affected by the weak force.,A particle that is created in a laboratory for experimental purposes.,A particle that is not directly observable but is inferred from its effects on measurable particles.,A particle that is directly observable and can be measured in experiments.,D,"In particle physics, this inequality permits a qualitative understanding of virtual particles, which carry momentum. The exchange of virtual particles with real particles is responsible for the creation of all known fundamental forces (more accurately known as fundamental interactions). Virtual photons are also responsible for the electrostatic interaction between electric charges (which results in Coulomb's law), for spontaneous radiative decay of excited atomic and nuclear states, for the Casimir force, for the Van der Waals force and some other observable phenomena.

Energy transfer"
"Who proposed the principle of ""complexity from noise"" and when was it first introduced?",Ilya Prigogine in 1979,Henri Atlan in 1972,Democritus and Lucretius in ancient times,None of the above.,René Descartes in 1637,B,"The term self-organized criticality was first introduced in Bak, Tang and Wiesenfeld's 1987 paper, which clearly linked together those factors: a simple cellular automaton was shown to produce several characteristic features observed in natural complexity (fractal geometry, pink (1/f) noise and power laws) in a way that could be linked to critical-point phenomena. Crucially, however, the paper emphasized that the complexity observed emerged in a robust manner that did not depend on finely tuned details of the system: variable parameters in the model could be changed widely without affecting the emergence of critical behavior: hence, self-organized criticality. Thus, the key result of BTW's paper was its discovery of a mechanism by which the emergence of complexity from simple local interactions could be spontaneous—and therefore plausible as a source of natural complexity—rather than something that was only possible in artificial situations in which control parameters are tuned to"
What is the order parameter that breaks the electromagnetic gauge symmetry in superconductors?,None of the above.,A thin cylindrical plastic rod.,A condensed-matter collective field ψ.,The cosmic microwave background.,A component of the Higgs field.,C,"In superconductors, there is a condensed-matter collective field ψ, which acts as the order parameter breaking the electromagnetic gauge symmetry.
 Take a thin cylindrical plastic rod and push both ends together. Before buckling, the system is symmetric under rotation, and so visibly cylindrically symmetric. But after buckling, it looks different, and asymmetric. Nevertheless, features of the cylindrical symmetry are still there: ignoring friction, it would take no force to freely spin the rod around, displacing the ground state in time, and amounting to an oscillation of vanishing frequency, unlike the radial oscillations in the direction of the buckle. This spinning mode is effectively the requisite Nambu–Goldstone boson."
